date,ci,weather_dummy,wind,aqi,life_impact,is_holiday_near,is_holiday_mid,is_nonwork_weekend,is_holiday_day_or_window,is_bad_weather,is_aqi_high,test_fold_1,test_fold_2,test_fold_3,test_fold_4,test_fold_5,test_fold_6,test_fold_7,test_fold_8,test_fold_9,test_fold_10
2017-12-03,51.31926206054934,1,1,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-04,36.3908041060703,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-05,45.15418313708971,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-22,56.2802950475629,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-23,63.43519494211343,1,1,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-24,40.71654373055094,1,4,101,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-12-25,44.64972479737803,1,4,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-26,55.24762908340097,1,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,53.62486828257508,1,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,57.976817702971786,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-29,44.62592202344967,1,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,37.74467379529051,1,1,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-31,26.81839820743589,1,4,70,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,55.8020465037673,1,1,97,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-02,54.51001053757102,1,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,53.772391991741074,2,1,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,52.44467860924716,2,1,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-05,48.70662679944276,2,1,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-06,54.36248682840502,2,1,38,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-07,49.86301369884232,2,5,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-08,27.777302317014826,2,1,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-09,16.08249132181829,2,4,52,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-10,28.63864179808241,1,4,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-11,34.12558236593807,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-12,41.03539392281128,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
